epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.34,0.31507,1.37576,0.93378,0.99981,1,0.995,0.95371,0.31979,1.06888,0.82321,0.00044,0.00044,0.00044
2,269.47,0.30042,0.6572,0.89404,0.99093,1,0.99492,0.97045,0.38565,1.37027,0.80722,0.00085545,0.00085545,0.00085545
3,401.274,0.2875,0.59909,0.88604,0.9998,1,0.995,0.98958,0.2302,0.84949,0.73097,0.00122536,0.00122536,0.00122536
4,534.503,0.2798,0.51974,0.89023,0.99981,1,0.995,0.99476,0.22071,0.62001,0.76771,0.00154973,0.00154973,0.00154973
5,663.897,0.29078,0.48323,0.884,0.99974,1,0.995,0.99144,0.23608,0.66675,0.75731,0.001604,0.001604,0.001604
6,800.76,0.30017,0.45574,0.89386,0.99979,1,0.995,0.96818,0.28375,0.70974,0.73239,0.001505,0.001505,0.001505
7,933.426,0.27955,0.42492,0.88106,0.99944,1,0.995,0.995,0.18878,0.74271,0.70236,0.001406,0.001406,0.001406
8,1070.43,0.25444,0.38702,0.88269,0.99974,1,0.995,0.99459,0.1685,0.53446,0.67725,0.001307,0.001307,0.001307
9,1204.13,0.24123,0.35941,0.87827,0.99981,1,0.995,0.994,0.16105,0.37054,0.67987,0.001208,0.001208,0.001208
10,1347.65,0.22914,0.33148,0.87159,0.99981,1,0.995,0.99389,0.19146,0.38594,0.6957,0.001109,0.001109,0.001109
11,1475.44,0.17989,0.6839,0.81676,0.99997,1,0.995,0.99378,0.16672,0.39414,0.68128,0.00101,0.00101,0.00101
12,1604,0.16726,0.46356,0.81653,0.99965,0.97772,0.99391,0.9754,0.24656,0.42935,0.73607,0.000911,0.000911,0.000911
13,1729.27,0.15881,0.40743,0.80272,0.99985,1,0.995,0.99392,0.1808,0.29378,0.69797,0.000812,0.000812,0.000812
14,1855.08,0.15122,0.36317,0.80471,0.99986,1,0.995,0.99447,0.14423,0.24564,0.6712,0.000713,0.000713,0.000713
15,1980.25,0.13564,0.32562,0.78364,0.99986,1,0.995,0.99484,0.1491,0.25954,0.66882,0.000614,0.000614,0.000614
16,2104.95,0.12365,0.2994,0.79501,0.99986,1,0.995,0.995,0.09865,0.20541,0.65339,0.000515,0.000515,0.000515
17,2231.72,0.10913,0.27352,0.78381,0.99985,1,0.995,0.995,0.09408,0.22615,0.65009,0.000416,0.000416,0.000416
18,2356.96,0.10645,0.2646,0.78547,0.99985,1,0.995,0.995,0.08634,0.19359,0.64607,0.000317,0.000317,0.000317
19,2526.68,0.0968,0.24834,0.77055,0.99985,1,0.995,0.995,0.07883,0.197,0.64514,0.000218,0.000218,0.000218
20,2651.34,0.08845,0.23698,0.77934,0.99985,1,0.995,0.99479,0.07928,0.20808,0.64869,0.000119,0.000119,0.000119
